Data,ComprFilotaxiaMean,ComprFilotaxiaVar,ComprLobuloMean,ComprLobuloVar,LargLobuloMean,LargLobuloVar,RelComprLarMean,RelComprLaraVar,ComprPecioloMean,ComprPecioloVar,EspEntreCascaMean,EspEntreCascaVar,ComprMedRzsMean,ComprMedRzsVar,DiamMedRzsMean,DiamMedRzsVar,HCNPicMean,HCNPicVar,NRMean,NRVar,PAMean,PAVar,DRYMean,DRYVar,DMCsgMean,DMCsgVar,PTRMean,PTRVar,PPAMean,PPAVar,ICMean,ICVar,APMean,APVar
BAG,4.93478497141097,1.42343314514846,14.759236204576,8.46118387750314,3.99127860026918,1.06817816206026,3.9179404225969,1.58787374982484,21.194730820996,26.1675223180663,2.39196185567698,1.04288132770541,26.1727560184181,30.1793293833473,58.9655774488984,79.3086540957032,6.2667605829652,2.5330252654799,4.01285131961548,0.376971328693144,3.39754066923605,0.22986715528653,5.61807145376049,1.02860281367112,34.897671640255,2.87350115830577,17.4288647580756,24.7035312360198,19.6715076795481,23.273479933877,45.2867220622188,45.9512367814617,1.92512558593491,0.0424133477014296
Gen,4.91946308724832,1.50698349356068,14.8744295302013,8.55122889533829,4.01637583892617,1.07127191184473,3.92255975518121,1.64424002027367,21.2253020134228,31.0108223743878,2.31774547581036,0.390605315450508,25.9105049882758,30.1148266674371,59.9824498632109,76.7273258062303,6.40326869839866,2.46261776300128,4.04760034193496,0.379257761400303,3.41871433719038,0.237719122706712,5.66329788635508,0.966429781330414,34.988752502952,2.52252655054262,17.6277291911715,22.463359521612,19.6766117385814,22.719612046479,45.5867071755908,49.1762023976277,1.93081705853487,0.0483492550279233
Gen/Phen,4.89261744966443,1.50190458915291,14.608389261745,7.69870819880283,3.92281879194631,1.02755821694177,3.95344732077181,1.67389522136316,20.7357718120805,25.8832515962271,2.48043009498806,2.87802018957572,25.7248374274606,28.2651449978171,59.7799574717598,63.9854569487839,6.41505363008216,2.60190265550133,4.0061454654631,0.326171558714605,3.4102137925886,0.239911486849475,5.61244142119733,0.941715388540526,34.8890496754572,2.46454761043314,17.3659848408027,22.0188287867334,19.3032768921112,22.5140527525187,45.6561897936226,47.1887752297322,1.91923480596769,0.0494025554643518
Phen,4.90516823347718,1.26133051427176,14.2710738255034,5.55472856883729,3.93986577181208,0.637689171050245,3.73932465561074,0.658070773607507,20.5738926174497,19.4883117721749,2.4390734986668,0.418052692197041,26.2758068117141,21.2820689512161,59.0532305190573,69.7654418933159,6.3227986605129,2.34684583419544,3.98868433505546,0.277070873288266,3.4250682443233,0.195916508893033,5.68425030082075,0.921483244883125,34.994020665346,2.10218673585468,17.6497484344114,19.2748157098103,19.5226641322454,19.3592167352152,46.2254733288424,31.1234172007778,1.92354332324759,0.0349335417552976
