Method,ComprFilotaxiaMean,ComprFilotaxiaVar,ComprLobuloMean,ComprLobuloVar,LargLobuloMean,LargLobuloVar,RelComprLarMean,RelComprLaraVar,ComprPecioloMean,ComprPecioloVar,EspEntreCascaMean,EspEntreCascaVar,ComprMedRzsMean,ComprMedRzsVar,DiamMedRzsMean,DiamMedRzsVar,HCNPicMean,HCNPicVar,NRMean,NRVar,PAMean,PAVar,DRYMean,DRYVar,DMCsgMean,DMCsgVar,PTRMean,PTRVar,PPAMean,PPAVar,ICMean,ICVar,APMean,APVar
BAG,4.87006678809958,1.43179824223295,14.7407643504532,8.34890662520959,3.97116616314199,1.05493703101883,3.93923058008761,1.66463868434037,21.0131214501511,26.1596611793159,2.35665841452208,1.09235814509977,26.374466558463,31.3727009857785,58.7035885462208,82.8454082351221,6.18753892481935,2.5028813859688,4.03559442651072,0.38068566429484,3.39368201120258,0.211751324497555,5.62836309476263,0.964652653195533,34.8537595984227,2.78528088797573,17.5481842967537,24.5709088782075,19.6836959520413,22.6984308229215,45.467086379775,44.7350474025135,1.92716950184028,0.0423630564173771
Pheno,5,2.16216216216216,14.9136241610738,12.2298570469799,4.0238255033557,1.43185080718302,4.03542138275839,2.87532318595417,20.9777181208054,43.7605434064937,2.54229256645435,6.73842838741844,26.2563049336857,48.5745121433823,58.6640189573556,134.905399552296,6.27012100159073,2.62457216253261,4.01855842642593,0.505590092030324,3.36730931872717,0.235829615058726,5.62845905823419,1.32053685281849,34.3921413094613,3.57467926746938,17.5314988839288,31.8653141595709,19.0530343384183,27.3014661944166,45.8040726826514,58.9356036056585,1.92043517587356,0.0569138175887414
CoreHunter,4.98551367677051,1.52258727821702,14.5065384615385,8.51140729528536,4.1125641025641,1.20180757650951,3.73179280453846,1.38591097594322,21.1952564102564,27.4092392886683,2.4022320596497,0.418253141988221,26.0395311140731,24.7566036675387,60.1535243942919,98.454391746301,6.14589086295253,2.71007163618142,4.05131236247812,0.449205954758989,3.44578143017671,0.258918654411525,5.53847436279163,1.01729976750984,34.9475606950951,2.60467804099481,17.089789773186,24.2447570748157,18.7377087067783,18.8988894301373,45.9534681926644,57.6815571230478,1.89735497614902,0.0406597376336798
DARWin,4.96019523888376,1.48871164779344,14.6795454545455,7.82676515151515,3.84396103896104,1.0690489135048,4.09299782811039,2.15335276931262,20.3463636363636,24.4217278669044,2.37778047436932,0.52504103557393,25.6664512148953,32.7383443650156,57.2207309146477,72.8856808268737,6.20403971087535,2.23137817443533,3.97315842254704,0.419472680283698,3.43085557645937,0.19876375710624,5.35863393907127,0.888727331886502,34.5960367701868,2.83698821163077,16.2807112644526,19.710714436079,18.9098135532301,24.3697398726522,45.1152666059975,47.3172423150135,1.88614488164135,0.0470670014018854
NCSel,4.95391027660225,1.69649011844251,14.740701754386,9.67941156660496,3.98967418546366,1.26999109960832,3.97631233541353,2.24957149502533,20.9199498746867,32.2498939673304,2.44241362474385,2.80828183023397,26.1568927290418,33.2840744614709,58.6759160228169,101.760668119621,6.20215534772699,2.51651847654049,4.03896549723153,0.452146952624224,3.41250587050724,0.227524214233028,5.51104372360479,1.09529674239941,34.6576727478331,3.07135018910148,16.9926536690038,25.2874951805974,18.9352019711715,24.2405782004023,45.7344619603218,52.2730388666684,1.89826811884802,0.0488913899755312
