CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0318;5;9;5;3;3;9;3;3;4;1;1;5;1;5;3;7;5;1;2;1;2;2;2;2;7;5;3;0;3;3;1;5;100;12.26;2.54;4.835962963;19.18;2.96;25.5;62.89333333;7.77784216764392;4.90022671056694;3.39271449677152;5.63126005491731;35.3929475911944;21.3350697138585;20.6746821401084;47.5418089914234;2.13401478224235
BGM-0337;7;5;5;3;3;9;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;5;0;15.02;4.44;3.412052543;27.72;1.666666667;29.66666667;40.32333333;6.18753892481935;4.39224746951222;2.75262111887899;7.99560271186782;36.5932363455227;30.4735985455719;20.6325743394441;57.0959048382631;2.10677336358223
BGM-0341;7;1;5;3;3;6;3;3;4;4;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;5;3;1;3;3;2;5;90;15.06;4.4;3.432537788;21.08;2.02;26.11111111;52.32555556;3.06718693509369;3.42261965644106;3.73157608557674;5.19179427933236;36.1590267824849;16.0326706150546;23.7460191318001;39.8087122115847;1.94322457711664
BGM-0360;7;3;5;3;2;8;2;7;2;1;1;3;0;2;7;3;3;1;3;2;2;1;2;3;7;3;2;0;3;7;3;5;80;13.98;4.42;3.170663441;28.3;2.596666667;27.5;65.25888889;6.03831736417309;5.27410193221244;2.95839941388462;6.8331095063222;34.7967421979264;22.4662091886427;26.7323232022864;44.4031749156836;2.00161533341856
BGM-0362;5;3;5;3;2;9;4;3;3;2;3;5;1;5;3;7;5;1;1;1;3;2;2;3;7;5;3;1;3;3;3;5;70;14.82;2.92;5.171996644;20.1;2.113333333;21.54166667;56.255;8.06786069375194;3.79489315626374;3.62042066030134;5.41206209662576;36.130692138064;14.8894914790435;15.4375077180862;46.0958506468947;1.82713533492935
BGM-0366;5;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;4;3;2;5;90;10.1;2.66;3.792060564;12.02;2.966666667;25.08333333;62.0325;8.06786069375194;4.09550148544206;3.85213415123855;6.3302353698708;34.6756057461843;21.2937249773426;25.0477248387516;44.4407166933326;1.92818753577937
BGM-0411;5;7;5;5;3;9;2;5;4;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;3;3;2;5;90;12.34;3.8;3.254177309;14.26;2.69;31.41666667;59.9825;8.06786069375194;4.85386746230941;3.21923335115329;5.45979713254329;36.5430171747673;17.8922399436156;27.792208467239;39.4317917036922;1.94735825957524
BGM-0426;5;5;5;3;3;9;3;5;4;1;1;5;1;5;3;3;5;1;2;1;2;2;2;2;7;5;2;1;4;3;1;7;100;14.98;4.52;3.316509882;23.66;2.15;25.9975;62.31666667;8.10458085167687;3.16341224970411;4.03954812565169;5.80304867132625;34.3799339147539;17.9124043248057;18.5733921349833;47.0786850896516;1.80914082524252
BGM-0428;7;2;5;3;3;6;3;3;4;1;1;5;1;5;3;3;5;1;4;1;1;0;2;2;7;5;3;0;4;3;3;7;0;14.56;4.34;3.397032522;26.38;1.43;20.11111111;53.24;5.86655777296663;3.84044647924978;2.2292484887712;6.34991538286444;37.6680695561346;20.2893054138342;25.597998711181;44.0557428486979;2.23187111685238
BGM-0449;7;5;5;3;2;6;2;3;3;1;1;5;0;5;3;3;5;1;1;1;1;0;1;3;7;0;2;0;3;3;2;5;0;11.98;2.84;4.235276695;17.54;2.423333333;28.79166667;58.97;3.65260842102489;4.2466364227167;2.36949521797718;6.29495826140141;34.9036975285973;20.6367851601458;17.1449623859565;52.7124981519648;2.09260228987918
BGM-0477;7;5;5;5;2;5;2;3;3;1;1;3;1;5;3;3;5;1;2;1;3;3;2;2;7;3;3;0;3;3;2;7;100;17.84;4.3;4.191203475;22.7;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;4.3679843849879;6.8350634807818;34.4046435309339;25.0503960051657;23.4853716774368;49.1148817813914;2.06758899610931
BGM-0489;5;3;5;3;3;6;2;3;4;1;1;5;0;5;3;7;5;1;1;1;1;0;2;1;7;5;3;0;3;3;1;5;0;11.02;3.42;3.228094197;15.78;3.03;23.33333333;67.41083333;6.88872773282923;4.24599015240765;3.26871303047981;7.57566716866286;33.2439984639619;21.6437877559739;22.3160682923016;43.9526551646316;2.1129689197969
BGM-0495;5;3;5;3;2;5;4;5;4;3;1;5;1;5;7;7;5;1;2;1;2;2;2;3;7;3;3;1;3;3;2;5;100;14.38;3.78;3.809655388;16.2;2.14;22.58333333;49.68583333;3.9362965247127;2.84871191115756;3.61315526411743;4.69499592225717;35.6450234942217;12.1399422108401;17.2830332833227;35.6666417744604;1.88953556158165
BGM-0501;7;5;3;5;2;7;2;5;4;3;1;5;1;5;3;3;5;1;3;1;3;2;2;2;7;5;3;1;3;3;1;7;80;13.66;3.98;3.450990925;21.34;1.61;29.66666667;51.11666667;6.18753892481935;4.03559442651072;3.37847926006766;5.53349150641412;35.0945466645969;16.9083346643509;17.7474796027673;47.6485348943187;2.06873335336284
BGM-0504;7;3;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;1;1;3;1;2;3;7;3;3;0;3;5;1;5;80;13.04;3.06;4.33635691;23.52;2.743333333;14.77777778;49.82777778;8.00030244853368;3.36509017009869;3.22315586747997;6.64899714985799;35.3198839314087;17.3218828002041;19.281398186753;42.9181932079509;1.93279769122117
BGM-0509;7;3;5;3;2;7;1;5;2;1;1;3;1;5;3;3;5;1;4;1;1;0;2;2;3;5;2;0;3;5;1;7;0;14.66;3.58;4.092277753;20.96;1.716666667;21.55555555;45.87111111;7.85020677948608;3.31672193256688;2.670026281615;3.38414640035066;32.030126858375;8.40092655564764;12.6667234198657;30.3587342353466;2.21713638510864
BGM-0523;5;3;5;3;3;7;2;3;4;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;3;3;2;5;80;12.48;3.2;3.902238613;15.94;3.38;23.0625;68.46083333;6.12169920311095;3.93891545540333;2.79075029846596;5.15534495925254;33.6233625218208;16.4871061227695;20.0938832609257;43.3269105317416;1.8203483276156
BGM-0529;5;3;5;3;3;7;2;3;1;3;1;5;1;5;3;7;5;1;2;1;2;2;2;2;3;5;3;1;4;3;3;5;100;11.66;1.9;6.358796296;17.68;2.306666667;31.16666667;58.11916667;5.05225302742822;4.22305261629958;3.51967074351455;5.38398401198809;34.5311620862158;21.4403718510481;22.5518810739157;45.3525941949477;2.05346965386913
BGM-0536;3;2;5;3;3;9;3;3;4;1;1;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;3;5;90;11.72;3.72;3.169298711;13.22;2.44;24.54166667;63.5275;6.83087502849823;3.89942096390967;2.74750126273642;5.38118873352552;34.1970055439326;16.1266432379128;15.5290464993017;52.4945826999692;2.08896840550779
BGM-0562;7;7;3;5;2;7;1;5;4;1;1;5;1;5;3;3;5;1;1;1;1;1;2;2;7;5;3;0;4;3;2;5;0;14.76;4.12;3.618189504;25.14;2.503333333;26;59.32666667;6.20771849935347;3.90200749302269;3.00258899517571;5.0025984091536;35.3533873247845;16.1746649967596;21.5364702363622;42.79907605021;2.17711960190622
BGM-0563;7;7;5;5;2;7;1;5;1;1;1;3;1;5;3;7;5;1;1;1;1;0;2;2;3;5;3;0;4;7;3;3;0;10.7;3.62;2.96106848;12.3;1.78;19.58333333;47.20666667;8.02220578372947;4.11336803455426;3.5486683474124;4.91398347602872;35.582793919476;11.1630760319146;19.090035095623;39.1470870735136;1.70614634777183
BGM-0601;7;5;5;3;2;6;1;5;4;1;1;5;1;5;3;3;5;1;2;1;2;2;2;2;7;5;3;0;4;3;2;5;90;14.5;4.5;3.218998268;22.68;2.203333333;22.33333333;51.07666667;5.33795609761805;4.14204128202651;2.78467049474621;6.1004146877395;36.4326342143414;24.3323403431861;25.670137727658;45.7919087864606;1.8450996130088
BGM-0625;7;5;3;3;3;7;1;3;1;3;1;5;1;5;3;7;5;1;1;1;1;0;2;2;3;5;2;0;4;3;3;3;0;14;3.32;4.23192742;15.54;3.703333333;26.95833333;60.82;8.02220578372947;3.93801113763722;3.93923828313695;5.94360698395444;35.1233053697255;18.9483118225976;18.0166692401351;53.2122683676997;1.71491348154209
BGM-0662;9;5;5;3;1;5;4;5;4;4;1;5;0;5;7;3;5;1;2;1;3;1;2;2;7;5;2;0;3;5;2;3;90;12.38;3.3;3.75986631;17.44;2.823333333;27;60.37166667;8.00806747446013;3.20242892287061;4.15034744383942;5.92773507999397;36.425666807996;15.6027328922371;12.3361075827919;53.2768232997264;1.45349551637751
BGM-0667;7;3;5;3;3;6;2;5;4;1;1;5;1;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;3;3;1;7;90;12.24;3.58;3.423938224;19.1;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.78522917791703;4.80803432361512;32.5599356237419;14.626656683712;14.5454295049418;42.343556329493;1.80890027500395
BGM-0700;5;5;5;3;1;8;1;5;4;2;1;5;1;5;3;3;5;1;1;1;3;1;2;2;3;5;3;0;3;3;2;5;90;14.04;3.42;4.114596624;15.2;2.17;22;56.49555556;8.00030244853368;3.89691897784426;3.86093050763243;5.08445571757349;35.2752053447333;14.878109242646;21.2128320960668;37.0300957197115;2.36398024268615
BGM-0708;3;3;5;3;2;6;4;3;4;1;1;5;1;5;3;7;5;1;2;1;1;0;2;2;7;5;3;0;3;3;2;5;0;11.52;3.52;3.284641102;14.22;3.356666667;30.66666667;59.01;4.72862119721359;3.72738592513438;3.04404398920688;5.00782415889386;35.0206985327301;16.2811924293267;21.6093546789473;44.7924621530467;2.05231813141259
