CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0209;9;3;5;3;3;6;2;5;4;1;1;5;0;2;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;3;0;18.44;6.26;2.946176003;27.28;2.9;29.70833333;64.43666667;7.92154278878565;4.96607801805223;2.90267259327388;5.10555076101502;33.3222294966082;17.1597768589126;21.8728603625118;45.0530323354442;2.01433472161526
BGM-0213;3;7;5;5;1;3;3;5;4;4;1;5;1;2;3;3;5;1;1;1;2;3;1;2;7;3;3;1;3;3;3;3;110;13.62;4.28;3.183680159;18.96;2.336666667;22.54166667;53.0525;3.25376754955469;3.46627437827513;4.05034475541477;4.64796704056235;32.7763797336125;13.6065637255509;15.7765002513713;47.7321367018543;1.76500674199206
BGM-0222;5;3;5;3;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;1;2;3;3;3;3;0;4;3;2;5;80;8.14;2.74;2.978953704;10.48;2.93;26.04166667;59.5775;2.94033151913364;4.16245278205094;3.48200895968474;5.9412105344519;34.2720339075201;16.5585044483872;17.5255066287653;45.7349648000806;1.97538819686977
BGM-0240;5;7;5;3;3;6;1;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;1;3;5;3;0;4;3;3;5;100;13.92;3.16;4.401965384;14.02;3.803333333;25.75;71.83166667;7.77784216764392;4.85208385147119;3.66727440238365;6.11102582045805;34.4002611334903;20.3872775667387;15.8400773538716;55.8032726959653;1.7878130101136
BGM-0252;5;5;3;3;2;5;4;3;4;3;2;3;1;5;1;3;3;1;1;1;3;2;1;3;7;5;3;1;3;5;2;5;120;12.38;3.8;3.277371284;15.56;1.39;25.66666667;52.61;3.81308749104245;4.74721222726608;3.3184954176502;6.57999011189435;32.3528380589488;18.931736092241;20.5446583081128;48.1275822067453;1.90852572718254
BGM-0260;3;9;3;5;3;3;4;5;4;4;1;5;1;5;3;7;5;1;1;1;2;1;1;2;7;3;2;0;3;3;1;5;90;14.94;4.92;3.040997268;23.7;2.52;24.75;46.7275;3.37810949793085;4.18575833178413;3.3947549382194;5.20737854326993;35.7816594075972;13.4259830414779;15.038355886392;41.8548687876011;1.8549795961425
BGM-0261;3;7;5;3;3;6;3;5;4;3;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;1;5;0;11.32;2.54;4.491560847;14.04;2.17;26.54166667;56.57416667;7.97510675976724;4.40480189736377;2.85564856441661;6.40090805561955;34.0352483998557;20.8431876414811;21.3765610095028;48.3011437991682;2.34653818482465
BGM-0269;5;1;5;3;3;6;2;3;3;2;2;5;1;5;3;7;5;1;1;1;3;1;2;3;3;3;3;1;3;3;3;5;80;16.52;3.52;4.704120887;20.02;1.86;18.20833333;47.23166667;8.04182122692722;3.44715976485174;3.36554489349743;4.19767525708649;35.7629025828186;11.3673242699479;12.975769767346;44.063955618233;1.729827341002
BGM-0276;7;2;3;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;1;1;2;2;2;3;7;3;2;1;3;5;1;5;110;16.36;4.56;3.592107661;17.5;1.023333333;28;56.22;4.8396432411396;3.98196535743372;3.17407939375308;6.14846716087359;35.4421570816285;22.8675213398731;23.4850671908795;49.3549936468693;2.15450403126049
BGM-0284;5;7;5;5;3;7;3;5;4;1;1;5;0;2;7;7;5;1;2;1;3;2;2;2;7;5;3;0;3;3;1;5;100;12.54;3.68;3.412568752;21.64;2.213333333;25.875;53.57666667;4.98448242822365;3.72241019814861;2.93056028517876;5.74360655879306;34.9508198521795;17.1102275412932;18.6201437331102;44.0400730264167;2.24624973305172
BGM-0298;7;7;5;5;3;9;2;5;1;1;1;5;0;5;3;3;5;1;2;1;1;1;2;2;3;5;3;0;3;3;2;5;90;16.8;3.78;4.452591887;24.5;2.393333333;27.08333333;50.48916667;8.02076166978971;4.0033950154725;3.82464513014729;5.56296863382688;34.7001965196219;18.174445047;26.1719305350002;38.4540061800926;1.94388133737884
BGM-0310;5;3;5;3;3;9;3;3;4;3;1;5;1;5;3;7;5;1;2;1;2;2;2;4;7;5;3;0;4;3;1;5;100;13.82;4.02;3.434844099;23.54;2.736666667;8.666666667;53.28;7.86122400658178;3.25742544321967;4.15465696037877;5.1144826861859;34.0278584154334;16.353887542944;19.7471854453804;30.0177615725315;1.75115166172283
BGM-0315;7;7;5;3;3;7;1;5;1;1;1;5;1;3;3;7;5;2;1;1;2;1;2;2;3;5;3;0;4;7;3;7;80;13.7;2.84;4.888382422;16.86;2.25;24.33333333;52.69666667;5.51274717202405;3.48735213613056;2.7582390961024;4.66641354039076;35.4347121001534;11.9051937597167;21.0188145314335;35.4630760495491;1.95312972326001
BGM-0316;3;3;5;3;3;9;2;3;4;1;1;3;1;5;3;3;5;1;1;1;1;0;1;2;7;5;3;0;3;3;1;5;0;16.56;5.34;3.106825955;21.02;2.04;33.33333333;68.71333333;6.18753892481935;3.94532969448903;2.88930172065029;5.56238879052545;35.7449107869349;18.5512129045952;19.1329557721532;50.0441953882415;2.04111822901075
BGM-0320;7;2;5;5;3;9;4;5;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;1;7;5;3;0;3;5;1;5;110;16.04;4.44;3.612626263;19.8;2.186666667;35.66666667;69.24;6.18753892481935;4.95721254302429;3.42573504900262;5.92340601873858;35.2443052685301;28.600398515277;24.9307092408482;50.4887323955705;2.20235372958775
BGM-0326;5;5;5;3;3;8;2;5;2;2;1;5;1;5;3;3;5;1;1;1;1;1;2;1;3;5;3;0;4;7;2;5;70;12.62;3.84;3.293735113;20.38;1.643333333;23.38888889;58.11888889;6.18753892481935;5.137231190238;2.3486522521043;4.46627316834313;33.0817824288459;14.3008864330824;24.1139986127979;34.6873613218857;2.26727199130644
BGM-0420;5;2;5;3;3;9;3;5;3;1;1;5;1;5;3;7;5;1;1;1;2;2;2;2;7;0;3;0;4;3;2;5;80;17.46;5.5;3.1748557;22.48;2.196666667;27.91583333;65.605;4.31931774808064;3.79954799664349;3.01821472281891;6.77469560251997;35.6174783946593;19.1405905487578;18.3648701943503;46.9634314367175;2.00640800465932
