CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0222;5;3;5;3;3;6;2;5;3;1;1;5;1;5;3;7;5;1;2;1;2;1;2;3;3;3;3;0;4;3;2;5;80;8.14;2.74;2.978953704;10.48;2.93;26.04166667;59.5775;2.94033151913364;4.16245278205094;3.48200895968474;5.9412105344519;34.2720339075201;16.5585044483872;17.5255066287653;45.7349648000806;1.97538819686977
BGM-0240;5;7;5;3;3;6;1;5;1;1;1;5;1;5;3;7;5;1;1;1;2;1;2;1;3;5;3;0;4;3;3;5;100;13.92;3.16;4.401965384;14.02;3.803333333;25.75;71.83166667;7.77784216764392;4.85208385147119;3.66727440238365;6.11102582045805;34.4002611334903;20.3872775667387;15.8400773538716;55.8032726959653;1.7878130101136
BGM-0246;7;7;5;7;3;9;3;5;4;1;1;3;1;2;3;3;5;1;1;1;2;1;2;3;7;5;3;0;3;3;2;5;100;14.82;4.42;3.345725339;23.86;3.003333333;23.33333333;71.45666667;7.24405039440734;3.77822977454743;3.49709377659017;8.4574825286387;34.2047742425058;29.760175489116;16.6367422777278;59.7922928988653;1.68225363440332
BGM-0252;5;5;3;3;2;5;4;3;4;3;2;3;1;5;1;3;3;1;1;1;3;2;1;3;7;5;3;1;3;5;2;5;120;12.38;3.8;3.277371284;15.56;1.39;25.66666667;52.61;3.81308749104245;4.74721222726608;3.3184954176502;6.57999011189435;32.3528380589488;18.931736092241;20.5446583081128;48.1275822067453;1.90852572718254
BGM-0261;3;7;5;3;3;6;3;5;4;3;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;1;5;0;11.32;2.54;4.491560847;14.04;2.17;26.54166667;56.57416667;7.97510675976724;4.40480189736377;2.85564856441661;6.40090805561955;34.0352483998557;20.8431876414811;21.3765610095028;48.3011437991682;2.34653818482465
BGM-0276;7;2;3;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;1;1;2;2;2;3;7;3;2;1;3;5;1;5;110;16.36;4.56;3.592107661;17.5;1.023333333;28;56.22;4.8396432411396;3.98196535743372;3.17407939375308;6.14846716087359;35.4421570816285;22.8675213398731;23.4850671908795;49.3549936468693;2.15450403126049
BGM-0284;5;7;5;5;3;7;3;5;4;1;1;5;0;2;7;7;5;1;2;1;3;2;2;2;7;5;3;0;3;3;1;5;100;12.54;3.68;3.412568752;21.64;2.213333333;25.875;53.57666667;4.98448242822365;3.72241019814861;2.93056028517876;5.74360655879306;34.9508198521795;17.1102275412932;18.6201437331102;44.0400730264167;2.24624973305172
BGM-0312;5;3;5;3;2;8;3;5;4;3;2;5;0;5;3;3;5;1;3;2;2;2;2;2;7;0;3;1;4;3;2;5;90;14.16;4.48;3.163987142;16.82;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.39368201120258;5.2710710860365;32.5651391945317;14.1309088908332;24.3955637501386;32.9850864233946;1.95526216609107
BGM-0315;7;7;5;3;3;7;1;5;1;1;1;5;1;3;3;7;5;2;1;1;2;1;2;2;3;5;3;0;4;7;3;7;80;13.7;2.84;4.888382422;16.86;2.25;24.33333333;52.69666667;5.51274717202405;3.48735213613056;2.7582390961024;4.66641354039076;35.4347121001534;11.9051937597167;21.0188145314335;35.4630760495491;1.95312972326001
BGM-0326;5;5;5;3;3;8;2;5;2;2;1;5;1;5;3;3;5;1;1;1;1;1;2;1;3;5;3;0;4;7;2;5;70;12.62;3.84;3.293735113;20.38;1.643333333;23.38888889;58.11888889;6.18753892481935;5.137231190238;2.3486522521043;4.46627316834313;33.0817824288459;14.3008864330824;24.1139986127979;34.6873613218857;2.26727199130644
BGM-0388;5;5;5;3;2;3;3;3;3;1;1;5;0;5;7;3;5;1;2;1;2;3;2;2;7;5;3;0;4;3;2;5;90;11.26;3.28;3.444000654;11.28;2.073333333;25.125;61.67166667;4.42115065760058;3.86111412103806;4.15821191216061;6.15616731024036;34.5478698017;19.880441900827;18.5133710430119;53.0161123483108;1.6925033327992
BGM-0414;3;3;5;3;3;7;1;3;3;1;1;5;1;5;3;7;5;1;1;1;3;2;1;2;7;5;3;0;4;3;3;5;90;18.28;4.8;3.806962188;27.8;2.396666667;17.875;67.94916667;5.66882186595764;3.49099552522143;3.5223166718944;6.17805167100726;34.2318202556154;20.6157651465922;18.3757205069682;54.3420197605039;1.93402275513977
