Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
100;BGM-0022-TB;7;5;5;5;2;6;4;5;4;3;1;3;1;4;3;7;5;1;1;1;2;3;1;2;7;5;2;0;3;3;1;5;90;13.26;3.98;3.335392535;18.46;2.75;32.77777778;62.88777778;4.61724968312554;3.40930013005686;3.73020186310042;6.18975102283357;36.8343488804279;13.2262595728159;15.0342772450913;47.728391261537;1.67290975654313
101;BGM-0023;7;1;5;3;3;7;1;3;1;1;1;5;1;4;3;7;5;1;1;1;2;2;2;2;3;0;2;0;4;3;2;7;90;14.26;2.62;5.454587288;20.92;2.01;26.66666667;58.55666667;7.76339745519747;3.57006927607171;2.70037023218233;6.79884614182168;33.9503591759434;24.7545418851527;29.5366158592818;47.7417979570777;1.90328078340375
113;BGM-0037;3;3;5;3;3;6;3;3;3;1;1;5;1;2;3;3;5;1;1;1;1;0;2;2;7;3;3;0;4;3;1;5;0;14.02;2.88;4.98333271;18.08;2.783333333;27.375;57.64833333;7.28656959881236;3.97482174198887;2.47132509601755;5.99277779481741;36.8500549436215;17.6389099888655;16.7865876759574;49.822044873557;1.85659722532939
124;BGM-0050;3;1;3;3;2;8;1;3;2;2;1;5;1;5;3;3;5;1;3;1;3;2;1;4;7;5;2;0;4;3;2;5;90;17.08;4.98;3.431073698;29.04;2.27;31.75;58.92166667;7.92154278878565;3.61546700962907;2.56375118539848;6.86564083193494;34.1116179628354;23.4501206965712;20.6869325230075;51.230357165458;1.97607609722011
130;BGM-0058;9;9;7;3;3;7;2;7;1;4;2;5;0;4;7;3;5;1;1;1;3;1;2;2;3;5;3;0;3;3;3;5;90;21.74;3.44;6.327951681;30.64;1.96;32.55555555;66.14888889;7.32792395675993;4.50456747921733;3.00154086915451;5.86316285017247;33.546268116204;28.9793783699424;29.4021774488478;45.7715625996214;2.40066760568912
157;BGM-0096;5;5;5;3;3;7;3;5;3;1;1;5;1;9;3;3;5;1;4;1;1;1;2;2;7;5;3;0;3;3;1;3;0;18.7;4.02;4.669242875;31.16;3.61;30;68.88666667;7.92154278878565;5.10690020740293;2.68946595098974;6.16610015512718;33.5852215877869;21.5698480424717;30.1764343735262;41.8103399749282;2.21674737421521
164;BGM-0111;5;5;5;3;3;6;3;5;4;2;1;5;1;5;3;3;5;1;2;1;2;2;2;1;7;3;3;0;4;3;1;3;100;15.54;2.52;6.193107395;20.48;2.546666667;21.33333333;55.96666667;6.18753892481935;4.03559442651072;3.22282428637716;6.23616597837418;33.4744188891979;23.0426191929579;20.826291472291;46.7425950238963;1.8618735373687
188;BGM-0138;7;9;5;9;3;9;4;7;4;1;1;5;1;5;5;3;5;1;1;1;2;2;1;2;7;3;3;0;3;3;2;5;120;16.98;4.54;3.742594975;26.14;1.815416667;31.38541667;59.441875;7.92154278878565;4.28377837954244;3.4030962919388;6.17762421925913;35.1979403111752;19.652879529299;17.9773294384256;54.0350911866967;2.07627128068481
192;BGM-0145;9;5;5;5;2;7;4;5;4;3;2;5;1;5;3;7;5;1;2;1;1;0;2;2;7;5;3;0;3;5;2;5;0;18.24;5.62;3.255234535;27.64;3.603333333;24.125;60.835;3.94742512804512;4.45641135360693;2.55884284311951;5.32934120011208;32.0473228635928;17.7156395693375;23.2350557094929;43.9812090984283;2.19183216135909
193;BGM-0146;7;7;3;5;3;9;3;7;4;1;1;5;1;5;3;3;5;1;1;1;2;0;2;2;7;5;3;1;4;3;1;7;70;15.24;5.22;2.921577312;26.04;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54196005663819;5.74539007442599;35.5300211053526;18.5698574750477;18.2902992903013;47.0023896615595;1.85600327537627
195;BGM-0149;9;3;5;3;2;5;4;3;4;4;2;5;0;5;3;3;3;1;3;2;2;1;2;2;7;5;3;1;3;7;1;5;90;14.24;3.76;3.78464657;21.18;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;2.66078078380946;6.91202035631121;33.5548608765888;25.1488281747524;30.4115632466382;47.9525391104318;2.15450017012055
229;BGM-0183;7;7;3;5;2;7;1;5;3;1;1;5;1;5;3;3;5;1;1;1;1;3;1;4;7;0;3;0;4;7;1;3;0;22.12;5.36;4.133408221;29.5;3.176666667;36.66666667;59.66333333;3.76165391831386;4.22918562695248;3.75862010020658;5.50251652097596;31.847855975833;20.095782069128;25.3870191433895;43.8963092518291;2.07147280147029
233;BGM-0187;5;7;5;3;3;6;3;5;3;2;1;5;1;5;3;7;5;1;1;1;3;2;2;2;7;3;3;0;3;3;1;5;90;19.58;5.64;3.47083826;27.46;2.303333333;26.25;52.59916667;3.09994830858127;3.77210819304943;3.36012327883806;7.06445885146911;34.1916560659947;19.7435321207056;19.5385558087925;49.3451844003266;1.96227518134698
238;BGM-0199;5;5;5;5;3;6;2;5;4;1;1;3;1;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;4;3;2;3;100;9.36;2.78;3.379316138;14.84;2.496666667;27.20833333;59.57833333;7.98313728751899;2.82355563480583;3.56174518250882;4.38857749104665;34.3026597890562;10.0833312503008;17.1110594459644;38.1792991405127;1.78179160657376
241;BGM-0204;7;3;5;3;2;6;2;3;4;4;2;3;0;5;3;3;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;5;90;14.84;4.38;3.384081633;19;1.82;22;58.03;6.15361717336118;6.32402985054562;3.50888742948902;4.54115604838717;33.2553285177617;18.119227052644;16.3453099394508;51.1157810730206;1.68578331965822
246;BGM-0209;9;3;5;3;3;6;2;5;4;1;1;5;0;2;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;3;0;18.44;6.26;2.946176003;27.28;2.9;29.70833333;64.43666667;7.92154278878565;4.96607801805223;2.90267259327388;5.10555076101502;33.3222294966082;17.1597768589126;21.8728603625118;45.0530323354442;2.01433472161526
249;BGM-0212;5;7;5;5;3;6;2;5;4;1;2;5;1;5;3;7;5;1;1;1;1;1;1;2;7;5;3;0;3;3;1;4.87006678809958;40;13.62;3.5;3.897380031;18.84;2.243333333;26.875;62.27666667;3.64154395652377;4.09657668015535;2.1847792855195;4.66622850477809;34.7032799050337;14.9013235499307;16.8172049823192;46.418320866828;2.15797786924299
