Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
82;Aipim Brasilia;5;7;5;5;3;6;2;5;4;1;2;5;1;7;7;7;5;1;3;1;2;3;1;2;7;3;2;0;3;3;1;5;90;25.1;5.84;4.302870094;2.86;2.293333333;24.83333333;53.59166667;3.73679124424096;3.90059169795554;2.93982538183429;4.72439740007812;34.132566909409;14.7203206707604;16.5785524477127;47.3964208694825;1.88515256521388
95;BGM-0018;7;7;5;7;3;6;2;7;4;1;1;5;1;5;1;3;5;1;1;1;1;0;1;2;7;5;3;0;3;3;1;5;0;19.4;5.98;3.24491767;33.56;2.183333333;29.22222222;56.46888889;4.4518531450489;4.3220823935193;3.03089215932395;6.75454625396091;37.2332652139812;20.8698147238979;31.9716691734805;39.1704264178774;2.26348162508038
116;BGM-0042;5;2;5;3;3;3;2;3;4;1;1;7;0;7;3;7;5;1;1;1;2;2;1;2;7;3;2;0;3;7;3;5;50;15.94;5.16;3.091866355;28.22;1.53;20.88888889;47.51333333;7.83510652682644;3.34048752173264;3.17744016043462;3.41047266521671;31.0009624419537;4.39365165553304;12.3302699677466;27.0422270846518;1.59004327589907
119;BGM-0045;7;5;5;5;3;9;3;7;4;2;1;3;1;5;3;3;5;1;2;1;3;3;2;2;7;3;3;0;4;7;1;7;100;11.84;3.36;3.584107514;18.48;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.56667918948034;6.35353846883372;35.6655596533189;21.0667537926738;26.2932547912915;43.1699180170283;2.22295957429506
123;BGM-0049;7;3;5;3;3;7;1;3;1;2;3;5;1;2;3;3;5;1;2;1;1;0;2;3;3;5;3;0;4;3;2;7;0;14.52;5.04;2.883088235;23.32;2.656666667;36.66666667;66.16;6.94311312151789;4.38390777504655;2.84770087286945;8.18158028560064;37.3243785443933;30.6483893508418;35.4016169346381;43.5091227323537;2.24978703006871
128;BGM-0056;3;3;5;3;3;7;1;3;1;1;1;5;0;5;3;3;5;1;1;1;1;0;2;2;3;5;3;0;4;3;3;5;0;12.2;3.22;3.79625;16.82;3.39;35.97916667;73.11833333;7.27866053785324;4.69059957787702;2.42077776689691;7.59108212804462;34.315104922163;30.2515482680759;23.6639955632495;54.3269004048465;2.05948012219348
131;BGM-0060;5;5;5;5;3;6;2;7;2;2;3;3;1;5;3;3;5;1;2;1;3;2;1;1;3;5;3;0;4;3;2;3;100;11.8;2.96;4.127664847;16.94;1.87;15.29166667;36.93083333;7.13290310834388;3.42475458280573;3.73026793695396;4.43970206681347;36.1124268758546;13.99854439838;15.857063841852;38.3337719913475;2.04938224532388
133;BGM-0062;5;5;5;3;2;8;4;3;4;3;2;5;1;5;3;3;5;1;1;1;2;1;2;2;7;3;2;0;3;3;1;5;100;18.48;6.26;2.952571335;24.92;2.17;25.54083333;54.25833333;3.8958650128265;4.73655740916412;3.20038869160179;4.3629790972542;31.8307376115696;12.1744867538128;15.0598725004313;46.6871414048987;1.91334594316063
149;BGM-0085;7;7;5;3;3;9;3;5;4;3;1;5;1;5;3;3;5;1;2;1;3;2;2;3;7;3;2;1;3;3;2;5;100;14.8;5.06;2.923657648;18.24;1.783333333;23.16666667;45.77916667;3.4809302059644;3.01782940994455;4.00530545820877;3.12188416417588;35.6110697057562;8.48911762179893;17.9295208368649;29.6988148567953;1.79092193325953
150;BGM-0087;3;7;3;5;3;9;4;5;4;3;1;5;1;5;3;7;5;1;2;1;1;0;2;1;7;5;3;0;4;3;2;5;100;16.52;5.02;3.290309201;31.04;3.89;31.875;67.9425;7.92154278878565;4.32844209032166;3.98988930422818;6.13982707927714;34.0914539263528;26.4939155324252;23.699554827898;50.7305894896156;1.87386441167529
