Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
92;BGM-0014;5;7;3;5;3;6;2;7;3;1;1;5;0;5;3;7;5;1;2;1;2;1;1;2;3;5;2;1;3;3;1;5;110;16.98;5.46;3.112927312;29.74;2.636666667;25.82222222;61.57111111;5.45366655356835;3.79212194654307;3.75196301992367;4.45825632254224;33.3252770591193;12.3951184010581;15.2575514210779;44.9950209475282;1.99070077993071
93;BGM-0016;5;5;5;5;3;7;1;3;1;1;1;3;1;1;3;3;5;1;4;1;1;0;2;1;3;0;2;0;4;7;2;5;0;16.08;6.78;2.373022181;24.72;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.06392172880116;4.90936528784969;34.1641841481215;11.5522899857607;25.666043632158;30.8034581646069;2.18048952790009
103;BGM-0025;9;9;5;5;3;9;3;5;3;4;1;5;0;7;3;3;5;1;1;1;2;2;1;2;7;3;3;0;4;7;1;7;90;19.68;3.14;6.320254794;24.24;2.733333333;20.33333333;57.33333333;5.63296288022437;4.43960774836042;3.23035677581749;5.15547368636701;35.0574969700048;19.2058418115347;26.7978684102709;43.0585514197353;2.03711594455735
115;BGM-0040;7;1;5;3;2;6;3;3;4;1;1;5;1;5;7;3;5;1;4;1;3;1;2;2;7;5;2;0;3;3;1;5;90;18.84;6.82;2.762217994;30.7;3.523333333;26.41666667;64.24;7.89509722555429;4.10671257461029;2.83458983989861;6.43066381030431;34.3538169982107;22.7796795170745;23.7703483699644;45.8546602908601;2.06119649191708
124;BGM-0050;3;1;3;3;2;8;1;3;2;2;1;5;1;5;3;3;5;1;3;1;3;2;1;4;7;5;2;0;4;3;2;5;90;17.08;4.98;3.431073698;29.04;2.27;31.75;58.92166667;7.92154278878565;3.61546700962907;2.56375118539848;6.86564083193494;34.1116179628354;23.4501206965712;20.6869325230075;51.230357165458;1.97607609722011
127;BGM-0054;7;5;3;3;2;5;4;5;4;4;2;3;0;5;3;7;5;1;2;1;2;0;1;1;7;5;3;1;4;5;3;5;120;14.68;4.66;3.159751125;23.52;3.813333333;20.625;67.3325;5.83045969618086;3.13048810438223;3.88231385490026;4.42165292813451;33.3264013527723;13.9862344045643;22.5340196642738;35.6523854778229;1.94652279989713
158;BGM-0097;5;2;5;3;3;7;1;5;1;1;1;5;1;4;3;3;5;1;1;1;1;1;1;2;3;3;3;0;3;7;2;5;0;15.32;3.48;4.425292398;24.08;2.186666667;37.33333333;54.17333333;6.24535409000018;4.94090750818523;2.48650149451605;7.11875968627076;34.3625911511322;25.0043115120802;29.7804125672003;46.0661111386417;2.18936794991547
173;BGM-0120;9;5;5;5;3;8;2;5;4;4;2;3;0;5;3;7;5;1;1;1;2;0;1;2;7;5;2;1;3;3;1;7;90;20;5.4;3.709563543;27.94;1.326666667;26;58.69888889;7.87590830441218;5.01110473493726;3.43186554818912;7.09548194392099;31.9329913719846;29.4724771636306;31.4145330819674;50.2695526432326;2.19953954515172
184;BGM-0134;5;9;5;3;3;7;2;3;2;1;2;5;0;5;3;3;5;1;2;1;2;1;2;2;3;5;3;1;4;3;1;5;100;15.46;3.32;4.690661364;21.1;2.45;27.85;55.0225;3.94119169843788;5.17305917705686;2.82029154637506;6.31125935110571;37.3242101339876;19.5384700356289;23.3931257203961;44.4268636268417;2.18521298502553
189;BGM-0140;5;3;5;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;2;1;3;2;2;2;7;0;2;0;3;3;1;5;90;17.2;6.02;2.861694959;29.82;2.593333333;25.625;66.27333333;6.64368734787995;4.59244635391803;3.94085053015059;6.47579252391579;37.7531943192444;19.0364662875737;24.5051604560394;44.9738994199962;1.88118770346851
256;BGM-0221;9;9;5;7;3;7;1;5;1;1;1;5;0;5;3;7;5;1;2;1;1;0;2;2;3;0;3;0;3;3;2;5;0;10.74;2.66;4.187824807;14.14;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.54078606651365;5.41007002308741;33.6001851012856;17.2228431674287;24.1184572382013;41.8376680354329;2.13184153514083
261;BGM-0236;5;5;5;3;3;6;1;3;1;1;1;5;1;5;3;3;5;1;2;1;3;1;2;2;7;5;2;1;4;3;2;5;90;11.04;4.08;2.70087969;15.14;2.276666667;34.04166667;64.48166667;6.07018718984737;4.48126035105734;2.82246345985797;6.75674091080833;34.1391974326855;23.9476740251923;19.9870565012307;51.2910859955782;1.89966513435852
264;BGM-0239;5;3;5;3;3;9;2;3;4;1;2;5;0;4;7;7;5;1;1;2;2;3;1;2;7;5;2;0;3;3;2;5;110;13.58;1.44;9.660239956;17.86;2.106666667;25.875;54.84333333;6.52634730311999;2.95814690621785;4.09501859307135;4.13889836234289;34.136183098332;10.1335383068661;19.6381896019688;33.7124206069364;1.821108698627
266;BGM-0241;5;3;3;5;3;6;3;5;4;1;1;5;1;5;3;3;5;1;3;1;2;1;2;2;7;5;2;0;4;3;2;5;90;15.12;4.18;3.617152256;20.22;3.653333333;41.66666667;65.64333333;3.9608694124117;4.03559442651072;3.04439406609247;5.7742235649707;35.4952105921174;18.0524629491494;25.9350528680262;41.4777748993281;2.25497772873774
293;BGM-0281;5;3;5;3;3;9;3;3;4;1;1;5;1;5;3;7;5;1;1;1;1;0;2;2;7;3;2;0;3;3;2;5;0;19.28;5.34;3.613604767;27.8;2.336666667;30.27083333;64;7.92154278878565;4.82559566492225;3.43790977567739;6.54933294534179;36.1366838131427;22.3130271452206;18.436407872952;57.1115002517041;1.93023707010456
301;BGM-0289;5;5;5;3;3;6;3;5;2;1;1;5;1;4;3;3;5;1;1;1;2;1;2;2;3;5;3;0;4;3;3;5;90;12.22;2.06;5.972629843;14.42;2.186666667;24.625;60.9525;3.56855205723138;4.46214573763395;3.05451121262422;6.32911324156024;35.3347408117222;21.9699245386735;21.6133028602764;49.9411391299984;1.89287466207696
303;BGM-0294;5;1;5;3;2;3;4;3;4;1;1;3;0;5;3;3;5;1;2;1;3;2;2;2;7;5;2;0;4;3;2;5;90;14.34;3.44;4.189697232;19.44;1.65;20.29166667;49.03333333;3.52508755488252;3.352344626702;3.73150053557762;4.75075673132429;34.0031020315232;11.4033193861902;14.0219800761673;43.1436475087813;1.65069945880202
304;BGM-0295;5;1;5;9;2;8;3;3;4;1;1;3;0;5;3;3;5;1;1;1;1;0;2;2;7;0;3;1;4;3;2;7;0;12.12;2.9;4.199019969;16.48;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.47970860478025;4.71365410792537;33.7814876273518;13.4908309192187;20.9212393852813;33.6421861547522;1.78245518380456
305;BGM-0297;7;1;5;3;3;7;2;3;3;1;1;5;1;5;3;3;5;1;1;1;1;0;1;1;7;3;3;0;3;3;1;5;0;16.72;5.12;3.266321549;22.82;1.81;20.33333333;56.04;3.01752485315157;3.87725194932763;2.29849819056585;4.67121671479078;34.2879216136293;12.9066521871613;21.1448057985899;39.0866404031294;2.01482699863047
332;BGM-0342;5;5;5;3;3;9;3;5;4;1;1;3;1;5;3;3;5;1;2;1;3;2;2;2;7;3;2;1;3;3;3;5;90;12.36;2.84;4.347891843;18.36;2.196666667;20.33333333;49.1475;8.06786069375194;4.36884045739659;3.47581558715251;5.78338790394146;32.1053664149728;13.3446875894174;18.5432740946958;38.1917766555348;1.96819698575244
353;BGM-0378;7;7;5;7;2;4;1;5;3;1;1;3;1;5;3;3;5;1;1;1;2;2;1;2;7;3;3;0;3;3;2;5;80;16.94;6.14;2.768098135;28.36;2.746666667;31.63333333;58.43;5.15411024999123;4.12520895881687;2.96622401133122;4.98260318685932;33.8490975198205;17.7092570211841;20.736708151535;45.9612916968184;1.98603722613664
379;BGM-0419;7;7;3;5;2;3;2;5;4;4;2;3;0;5;7;3;5;1;2;1;3;3;2;3;7;5;3;1;4;7;1;7;100;15.38;4.28;3.627276856;25.62;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.93246667943954;4.95858527350316;34.7897383592017;15.2360162694748;20.9976394580945;40.7085466393809;2.1347100768407
384;BGM-0424;5;1;5;3;2;6;2;3;2;1;3;5;1;5;3;7;5;1;2;1;3;2;2;2;3;5;3;1;3;3;1;7;110;11.5;3.2;3.599373425;13.42;2.136666667;20.95833333;33.98666667;7.18905182952773;2.87359351164581;3.9062090166345;4.24670947241929;34.6978814533653;10.3521319727171;26.7949291892088;21.9885634358358;2.12163706544214
396;BGM-0440;5;5;5;5;3;5;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;7;2;5;0;15.82;2.1;7.544771018;24.68;2.173333333;29.12416667;67.64333333;7.40612906247542;3.36067249270488;3.87150526278123;4.94031424951851;33.8565632170719;15.4519500552114;12.9197409889955;53.2761523548913;1.72086226004739
400;BGM-0444;7;5;5;3;3;9;3;5;4;3;1;5;0;5;3;3;5;1;1;1;3;2;2;2;7;3;2;1;3;3;1;5;90;11.94;2.6;4.601608311;16.36;2.946666667;27;69.19166667;4.23040664747072;3.60629687303301;3.56193781388305;6.0762513397597;32.8384565919033;21.0773147018686;19.6281404714446;50.178343210594;2.02427307612861
407;BGM-0456;7;5;5;3;3;9;2;3;4;1;1;5;1;5;3;7;5;1;2;1;3;2;1;1;7;5;3;0;4;7;1;7;80;15.56;5.48;2.853416723;24.64;2.803333333;26;43.54333333;6.18753892481935;3.83251134209655;2.96413675871281;3.93996974724592;32.3669405386851;8.91314782514265;23.2508354548349;28.3578112549659;2.17142770502008
408;BGM-0460;7;7;5;3;2;7;1;5;2;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;3;0;3;1;4;7;2;3;90;16.74;4.32;3.872907865;21.18;2.476666667;24.66666667;50.825;6.06805724892766;4.65760061131967;3.75074562120487;6.9182277375139;35.3814695612313;18.8072510315634;26.6579109689135;43.717984555464;2.01357439729792
410;BGM-0462;5;7;5;3;3;5;3;5;4;3;1;5;1;5;3;3;5;1;2;1;2;3;2;2;7;3;2;0;3;3;1;5;90;8.26;2.56;3.348398269;11.38;2.04;24;57.86666667;4.88114182738644;2.82609067459682;3.47579743439796;4.90947799000197;35.1476918345243;13.7397579788102;15.7347168392111;36.2956747006797;1.79575712642151
412;BGM-0464;7;5;5;3;2;5;4;5;4;3;1;1;1;5;1;3;3;1;2;2;2;3;2;3;7;3;3;1;3;3;2;5;120;8.34;2.86;2.933333333;6.94;2.206666667;30.33333333;42.88;6.18753892481935;3.63279095533899;3.54124486765091;4.40639596775491;34.6609065397897;11.8693829105665;19.4174831369172;31.2516303953776;1.99594548025586
413;BGM-0465;7;3;5;3;3;9;2;3;4;1;1;5;1;5;3;3;5;1;3;1;3;3;2;3;7;5;3;0;4;7;3;7;70;19.34;6.14;3.15078387;24.5;1.386666667;19.44444444;60.84777778;7.85020677948608;3.94565753995376;3.59157027027839;5.67103484321212;36.765783518319;18.8385191868896;20.9325557303311;47.5520614792849;2.12176400350241
414;BGM-0467;5;3;5;3;3;5;1;3;1;3;1;5;1;5;3;3;5;1;1;1;3;2;2;2;3;5;3;0;4;3;2;5;90;22.76;3.9;5.845943188;34.1;2.213333333;20.83333333;62.16416667;8.11554627617207;4.14853822698618;3.09539042908074;5.20998144244159;34.9078052307045;14.1426390505317;16.8546819318803;46.352369846874;1.74934554692681
421;BGM-0474;5;2;5;3;3;6;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;3;1;5;100;12.56;2.38;5.306841709;14.42;2.256666667;21.375;50.12916667;5.08485033386502;3.67502971988732;3.37127330481644;5.0127485113139;34.8790936447027;15.15958415935;20.4251475294863;39.323473429736;1.59811162824412
425;BGM-0478;7;7;5;5;3;9;3;7;4;1;1;5;1;5;3;7;5;1;2;1;2;2;2;2;7;3;3;0;4;3;2;5;100;13.82;3.14;4.407898338;22.64;2.346666667;23.25;53.19833333;3.0170214502507;2.92955979637496;3.4124657681562;5.70003919640714;36.0075925990102;15.7907102479411;17.5205837459115;45.3246930359522;2.15170595644054
441;BGM-0508;3;1;5;3;2;3;4;3;4;4;1;5;1;5;3;7;5;1;1;1;2;3;2;2;7;5;3;0;4;3;1;5;90;11.64;4.34;2.669774655;15.82;2.456666667;10.66666667;47.46333333;4.22503390788386;2.54287809638326;3.88758005899599;4.05356285155005;34.1726300610936;9.86840815292046;12.7617721005463;34.6752092171209;1.70143504563091
466;BGM-0550;5;7;5;3;1;5;4;5;4;2;1;5;0;5;7;7;5;1;1;1;2;3;2;2;7;0;2;1;3;5;1;5;90;14.32;3.38;4.22812084;19.54;3.48;28.77777778;46.17777778;7.85020677948608;3.98772387558077;3.38055986963247;4.29936355186766;34.9843701741823;13.0226852474866;20.0592254319721;38.9694980206004;2.01137627551534
467;BGM-0551;5;7;5;5;3;9;3;5;4;1;1;5;1;2;3;7;5;1;1;1;1;0;2;3;7;3;2;0;3;3;1;5;0;11.6;3.56;3.269304906;13.12;2.246666667;26.83333333;48.7375;3.50397171999933;4.41037582784884;3.74214082039359;5.28763920987007;35.919416449757;15.4872299724245;21.8300944309286;40.102569021892;2.08631027753416
478;BGM-0565;3;3;5;3;3;9;3;3;4;2;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;3;2;1;3;3;2;5;90;12.72;3.52;3.636515351;14.3;6.393333333;13;66.34333333;6.18753892481935;3.30168555841767;3.37649403644386;4.87123977170531;33.2214222020389;13.3564330727024;16.7903673203482;40.2257750160653;1.99201466553829
